序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
262,688375,国博电子,107.34,9.82,107.34,9.600,108.50,97.90,1.75,1.47,1041.33万,10.96亿,1.87万,10.2951,639.76亿,639.76亿
263,300436,广生堂,107.11,1.24,107.11,1.310,109.80,102.66,8.21,0.84,1122.57万,11.89亿,-164.51,67.8020,170.59亿,146.44亿
264,603115,海星股份,107.00,-0.90,107.00,-0.970,115.50,107.00,2.24,0.63,542.29万,6.00亿,163.17,12.8140,258.82亿,258.82亿
265,002636,金安国纪,106.95,-4.15,106.95,-4.630,118.60,106.95,7.67,1.59,5552.95万,62.58亿,96.44,20.9131,778.60亿,774.66亿
266,301421,波长光电,106.54,-5.09,106.54,-5.710,115.03,106.20,15.21,0.56,704.37万,7.71亿,476.14,10.3198,123.29亿,49.34亿
267,688031,星环科技-U,106.53,-3.73,106.53,-4.130,112.34,106.50,3.87,0.71,468.64万,5.11亿,-57.61,16.0005,129.05亿,129.05亿
268,301285,鸿日达,106.01,0.01,106.01,0.010,107.52,103.25,1.42,0.65,293.45万,3.10亿,-316.49,23.2125,219.09亿,219.09亿
269,301182,凯旺科技,106.00,5.47,106.00,5.500,109.50,104.00,6.87,1.00,600.11万,6.40亿,-70.99,15.3232,101.57亿,92.63亿
270,002980,华盛昌,105.73,3.89,105.73,3.960,111.95,100.00,11.58,1.11,1172.92万,12.58亿,281.89,17.7370,200.25亿,107.09亿
271,688213,思特威-W,105.46,1.12,105.46,1.170,108.97,101.11,5.45,1.02,1763.57万,18.61亿,44.80,8.3091,424.27亿,341.17亿
272,002428,云南锗业,105.07,-1.70,105.07,-1.820,109.00,101.60,8.59,0.67,5607.37万,59.23亿,1883.78,46.9167,686.23亿,686.14亿
273,688271,联影医疗,104.93,1.01,104.93,1.050,106.30,103.80,0.96,0.94,788.67万,8.28亿,54.20,3.9377,864.79亿,864.79亿
274,301312,智立方,104.43,-6.41,104.43,-7.150,112.00,104.00,5.09,0.70,431.76万,4.62亿,305.38,14.6783,175.99亿,88.53亿
275,688777,中控技术,104.20,1.17,104.20,1.200,107.63,99.00,2.89,0.84,2273.57万,23.65亿,275.97,8.3995,824.42亿,820.26亿
276,605318,法狮龙,104.00,-3.08,104.00,-3.300,109.91,103.62,1.88,0.60,236.57万,2.51亿,-3324.10,20.4488,130.76亿,130.76亿
277,688656,浩欧博,103.55,-0.49,103.55,-0.510,107.21,101.77,1.18,1.00,75.02万,7793.49万,9266.58,8.0728,65.77亿,65.77亿
278,301021,英诺激光,103.41,-2.47,103.41,-2.620,108.47,100.33,4.54,0.78,692.83万,7.25亿,343.01,15.3431,158.08亿,157.91亿
279,688090,瑞松科技,103.30,5.96,103.30,5.810,107.99,95.12,6.58,1.07,1046.18万,10.71亿,199.49,17.9866,164.25亿,164.25亿
280,301269,华大九天,102.77,-4.93,102.77,-5.330,109.50,102.61,3.25,0.76,1771.03万,18.60亿,-191.96,10.9467,560.55亿,560.55亿
281,300136,信维通信,102.60,1.57,102.60,1.590,107.18,100.99,7.88,0.66,6502.14万,67.69亿,236.61,12.4481,992.73亿,846.66亿
282,605123,派克新材,102.40,7.11,102.40,6.800,104.15,96.00,4.13,1.63,500.15万,5.07亿,36.21,2.6824,124.08亿,124.08亿
283,603501,豪威集团,102.30,1.02,102.30,1.030,105.20,98.80,3.65,1.07,4402.16万,44.87亿,63.94,3.9313,1286.43亿,1234.52亿
284,600259,中稀有色,102.26,4.98,102.26,4.850,105.72,95.74,6.85,1.39,2304.96万,23.55亿,50.33,9.5255,344.04亿,344.04亿
285,300936,中英科技,101.93,3.45,101.93,3.400,104.20,95.75,6.37,0.61,302.05万,3.03亿,-1733.57,7.6045,76.65亿,48.34亿
286,301568,思泰克,101.42,-1.02,101.42,-1.050,103.73,99.00,7.84,0.79,373.02万,3.78亿,99.04,10.3960,104.72亿,48.28亿
287,301123,奕东电子,101.06,-4.29,101.06,-4.530,111.59,99.86,6.31,0.93,1041.28万,10.97亿,624.69,8.4589,237.13亿,166.79亿
288,003021,兆威机电,100.80,10.00,100.80,9.160,100.80,91.75,4.63,1.59,960.99万,9.38亿,164.65,5.3594,269.70亿,209.04亿
289,601799,星宇股份,100.31,1.84,100.31,1.810,103.20,97.20,2.17,0.72,618.80万,6.20亿,20.17,2.5907,286.57亿,286.57亿
290,688227,品高股份,100.13,-6.40,100.13,-6.850,112.50,99.33,6.51,1.03,735.96万,7.68亿,-184.66,9.0869,113.20亿,113.20亿
291,300990,同飞股份,100.10,3.84,100.10,3.700,103.12,95.40,8.67,0.95,673.84万,6.78亿,71.68,8.1285,171.39亿,77.84亿
292,920186,中科仪,100.10,-2.17,100.10,-2.220,104.60,99.20,7.30,0.64,854.16万,8.68亿,32.65,6.5426,224.06亿,117.19亿
293,003043,华亚智能,100.07,-1.12,100.07,-1.130,103.88,94.00,11.16,1.06,992.48万,9.83亿,445.61,7.0133,139.06亿,89.03亿
